Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,VAT Exclusive,Description of Property,Property Size Description,lat,lng
7/6/2023,"269 LANDEN RD, BALLYFERMOT, DUBLIN 10",Dublin,D10R838,280000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3394574,-6.3380227
7/6/2023,"56 KEEPER ROAD, DRIMNAGH, DUBLIN 12",Dublin,D12H726,357000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
6/4/2023,"8 MARSHAM COURT, STILLORGAN, DUBLIN",Dublin,A94EY27,375000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.2877103,-6.2105189
29/08/2023,"226 SEABOURNE VIEW, CHARLESLAND, GREYSTONES",Wicklow,A63PF66,342500,No,No,0,Second-Hand Dwelling house /Apartment,,53.14083,-6.06306
12/12/2023,"23 The Boulevard, Grey Abbey View, Kildare Town",Kildare,,348020,No,Yes,1,New Dwelling house /Apartment,,53.15611,-6.91444
20/10/2023,"THE HEIGHT, BALLINGLEN, ARKLOW",Wicklow,Y14X208,230000,No,No,0,Second-Hand Dwelling house /Apartment,,52.79306,-6.14139
26/10/2023,"31 LLEWELLYN CLOSE, RATHFARNHAM DUBLIN 14, DUBLIN",Dublin,D16KC83,493000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/07/2023,"29 Ardrath Gardens, Crodaun, Celbridge",Kildare,,431720,No,Yes,1,New Dwelling house /Apartment,,53.33861,-6.54361
12/7/2023,"27 GLAS NA HABHAINN, CARRICK-ON-SHANNON, LEITRIM",Leitrim,N41CD82,425000,No,No,0,Second-Hand Dwelling house /Apartment,,53.9366828,-8.0784874
3/5/2023,"45 SHANDRA WOODS PORTARLINGTON, PORTARLINGTON, LAOIS",Offaly,R32DP22,208000,No,No,0,Second-Hand Dwelling house /Apartment,,,
16/01/2023,"BALLINATTIN LODGE, BALLINATTIN, TRAMORE",Waterford,X91V5N8,290000,No,No,0,Second-Hand Dwelling house /Apartment,,52.16235,-7.15244
28/07/2023,"53 GLENSHESK RD, WHITEHALL DUBLIN 9, DUBLIN",Dublin,D09VX45,416500,No,No,0,Second-Hand Dwelling house /Apartment,,53.3826658,-6.2396847
24/01/2023,"2 FORT FIELD, KILLERISK, TRALEE",Kerry,V92K8W7,210000,No,No,0,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
30/06/2023,"64 DEALG BAN, LADYSBRIDGE, CORK",Cork,P25FX60,390000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89528,-8.04583
29/09/2023,"Coachroad Meadows, Clane",Kildare,,438320,No,Yes,1,New Dwelling house /Apartment,,53.29139,-6.68917
28/08/2023,"153 Clonmore, Ballyviniter, Mallow",Cork,,295150,No,Yes,1,New Dwelling house /Apartment,,52.13333,-8.63333
7/6/2023,"CEST CA, 6 THE ELMS, CRINKEN GLEN",Dublin,D18E0E4,460000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
9/11/2023,"74 Clochan, Kilmeaden, Co. Waterford",Waterford,,277530,No,Yes,1,New Dwelling house /Apartment,,52.25833,-7.11194
19/06/2023,"ST JUDES GREEN RD, NEWBRIDGE, KILDARE",Kildare,W12Y593,327000,No,No,0,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
1/2/2023,"5 Hayfield Drive, Castle Court, Whitechurch",Cork,,405290,No,Yes,1,New Dwelling house /Apartment,,51.9815684,-8.5125526
5/12/2023,"LEGNAGLOGH, MONAMOLIN, GOREY",Wexford,,280000,No,No,0,Second-Hand Dwelling house /Apartment,,52.5587559,-6.3846926
28/04/2023,"176 BRU NA GRUADAN, CASTLETROY, LIMERICK",Limerick,V94VH2R,251000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6617686,-8.5750638
26/06/2023,"1 B CREGGAUN, Tobarteascain, Ennis",Clare,V95W70V,372000,No,No,0,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
14/12/2023,"TYRONE AVE, KILCOLGAN, GALWAY",Galway,H91V2XA,510000,No,No,0,Second-Hand Dwelling house /Apartment,,53.20639,-8.86583
28/02/2023,"MAIN HOUSE, LUMVILLE FARM, EDENDERRY",Offaly,R45CD70,600000,No,No,0,Second-Hand Dwelling house /Apartment,,53.34528,-7.04972
1/2/2023,"9 Mercer Avenue, Mercer Vale, Cherrywood",Dublin,,643170,No,Yes,1,New Dwelling house /Apartment,,53.2459385,-6.1587675
22/08/2023,"54 ARDKILL PLACE, GARRYMORE, BALLINAGH",Cavan,H12TW99,120000,No,No,0,Second-Hand Dwelling house /Apartment,,53.93333,-7.41667
18/09/2023,"FULMORT, MULTYFARNHAM, WESTMEATH",Westmeath,N91RR88,180000,No,No,0,Second-Hand Dwelling house /Apartment,,53.61667,-7.38333
28/02/2023,"930 GURTEENOONA, NURNEY RD, KILDARE",Kildare,W34FF82,165000,No,No,0,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
28/06/2023,"4 HUGHES PARK, DUBLIN RD, DUNDALK",Louth,A91D5W8,140000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
29/06/2023,"7 The Rise, Ballycullen Gate, Dublin 24",Dublin,,466960,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
18/10/2023,"7 TALBOT PARK, BOHERLAHAN, CASHEL",Tipperary,E25V663,158000,No,No,0,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
1/2/2023,"17 The Rise, Vartry Wood, Ashford",Wicklow,A67A7X0,370040,No,Yes,1,New Dwelling house /Apartment,,53.016793,-6.1089061
19/12/2023,"34 KILLEGLAND HOUSE, KILLEGLAND ST, ASHBOURNE",Meath,A84TK70,210000,No,No,0,Second-Hand Dwelling house /Apartment,,53.51163,-6.39821
24/08/2023,"34 LEAS NA CREIGE, OUGHTERARS, GALWAY",Galway,H91F9FE,155000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
28/04/2023,"117 MALAHIDE RD, DUBLIN 5",Dublin,D03V2V4,375000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3766015,-6.2166806
17/08/2023,"11 LISMOYLE HOUSE, ST AUGUSTINE ST, GALWAY",Galway,H91E5N4,300000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
22/09/2023,"29 ST AIDAN'S CRESCENT, WEXFORD",Wexford,Y35X2X5,315000,No,No,0,Second-Hand Dwelling house /Apartment,,52.3312181,-6.4673883
3/11/2023,"6 Strandville House, Clontarf, Dublin 3",Dublin,D03D315,375000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3646002,-6.2204545
6/7/2023,"APT 3, SILVERQUAY, NORTHGATE ST ATHLONE",Westmeath,N37D437,180000,No,No,0,Second-Hand Dwelling house /Apartment,,53.43333,-7.95
17/05/2023,"BALLYHYLAND CAIM, ENNISCORTHY, WEXFORD",Wexford,Y21E725,340000,No,No,0,Second-Hand Dwelling house /Apartment,,52.50083,-6.55778
25/05/2023,"2 CASTLEPARK APARTMENTS, LEIGHLIN ROAD, GRAIGUECULLEN",Carlow,R93XW83,147500,No,No,0,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
15/08/2023,"KNOCKREAGH, FERNS, ENNISCORTHY",Wexford,Y21RT91,400000,No,No,0,Second-Hand Dwelling house /Apartment,,52.50083,-6.55778
10/11/2023,"92 THE VILLAGE, BALLYLINAN, LAOIS",Laois,R14E718,280000,No,No,0,Second-Hand Dwelling house /Apartment,,52.9435323,-7.0431872
21/08/2023,"APT 34, BELMONT HALL, MIDDLE GARDINER ST DUBLIN 1",Dublin,D01YV22,295000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3545073,-6.2573536
14/12/2023,"64 GARBALLY OAKS, BRACKERNAGH, BALLINASLOE",Galway,H53CF53,243000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3275,-8.21944
24/08/2023,"84 PROSPECT DALE, MOUNT PROSPECT, CLONNARD",Wexford,Y35D1W3,241000,No,No,0,Second-Hand Dwelling house /Apartment,,52.5,-6.66667
17/01/2023,"11 LODGE COURT, BORRIS, CARLOW",Carlow,R95A065,213500,No,No,0,Second-Hand Dwelling house /Apartment,,52.6032821,-6.9311299
10/11/2023,"BALLYBEG LITTLLE, ST MULLINS LOWER, CO CARLOW",Carlow,R95P9D7,275000,No,No,0,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
7/7/2023,"60 THE FAIRWAYS, SEABROOK, PORTMARNOCK",Dublin,D13E8C6,375000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
18/05/2023,"2 Rath More Green, Barrack Street, Kinsale",Cork,,484580,No,Yes,1,New Dwelling house /Apartment,,51.7075,-8.53056
12/7/2023,"APT 1  GLENMOUNT COURT, GLEN RD, MONAGHAN",Monaghan,H18AF44,182000,No,No,0,Second-Hand Dwelling house /Apartment,,54.25,-6.96667
17/10/2023,"2 BLACKHORSE DOWNS, BLACKHORSE AVE, DUBLIN 7",Dublin,D07V6X0,502500,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
8/5/2023,"42 CASTLE GROUNDS, COROFIN, CO GALWAY",Galway,H54VK30,340000,No,No,0,Second-Hand Dwelling house /Apartment,,53.43333,-8.85
23/05/2023,"37 Orpen Hall, Brennanstown Wood, Brennanstown Road",Dublin,,572690,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
13/09/2023,"34 MELVIN FIELDS, KINLOUGH, LEITRIM",Leitrim,F91C7H2,180000,No,No,0,Second-Hand Dwelling house /Apartment,,54.4524513,-8.2877243
7/7/2023,"63 Arcadin, Arcadia, Athlone",Westmeath,,299560,No,Yes,1,New Dwelling house /Apartment,,53.43333,-7.95
1/9/2023,"21 BALLYRANDLE DR, BALLINROAD, DUNGARVAN",Waterford,X35YH64,400000,No,No,0,Second-Hand Dwelling house /Apartment,,52.1060731,-7.5740386
25/09/2023,"FIRODA, BALLINAKILL, LAOIS",Kilkenny,R32W7C5,137000,No,No,0,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
21/04/2023,"9 Westmill Gate, Millers Glen, Swords",Dublin,,370040,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
29/11/2023,"APT 1 MARINA, VALENTIA HARBOUR APTS, CAHERCIVEEN",Kerry,,1000000,No,No,0,Second-Hand Dwelling house /Apartment,,52.16667,-9.75
18/05/2023,"30 GLEANN NA TRA, SANDY RD, GALWAY",Galway,H91RW30,295000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
12/12/2023,"LAKEVIEW COTTAGE, ROUNDWOOD, TOGHERBEG",Wicklow,A98W3R8,600000,No,No,0,Second-Hand Dwelling house /Apartment,,53,-6.41667
20/12/2023,"31 EDEN WOOD, DELGANY, WICKLOW",Wicklow,A63DX67,310000,No,No,0,Second-Hand Dwelling house /Apartment,,53.13083,-6.09139
29/11/2023,"220 Millquarter, Knockmullen, Gorey",Wexford,,387700,No,Yes,1,New Dwelling house /Apartment,,52.67472,-6.2925
6/4/2023,"63 GLEANN NA RI, DRUIDS VALLEY, CABINTEELY DUBLIN 18",Dublin,D18D121,430000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/02/2023,"SEATOWN PLACE, DUNDALK, LOUTH",Louth,A91EK13,320000,No,No,0,Second-Hand Dwelling house /Apartment,,54.0052586,-6.3919561
19/06/2023,"102 Millers Avenue, Millers Glen, Swords",Dublin,,425960,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
3/2/2023,"14 LONG MEADOWS CONYNGHAM RD, DUBLIN 8, DUBLIN",Dublin,D08KD73,340000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
15/06/2023,"APT A 19 ST BRIDGETS TERRACE, PROSPECT HILL, GALWAY",Galway,H91T328,347000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
20/01/2023,"NICHOLAS COTTAGE ROSE ABBEY, KINSALE, CORK",Cork,P17D594,275000,No,No,0,Second-Hand Dwelling house /Apartment,,51.7075,-8.53056
3/11/2023,"191 Newtown Wood, Drogheda",Louth,,298420,No,Yes,1,New Dwelling house /Apartment,,53.7262354,-6.3215786
24/02/2023,"54 BALLYVAREEN, KILDIMO, CO LIMERICK",Limerick,V94E08W,265000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
16/05/2023,"137 MEADOWBROOK, ATHLONE, CO WESTMEATH",Westmeath,N37A0E2,150000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4123493,-7.9039234
29/05/2023,"44 WOODBURY GARDENS, TOM BELLEW AVE, DUNDALK",Louth,A91R2F5,238000,Yes,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
23/08/2023,"56 GARYOWEN RD, BALLYFERMOT, DUBLIN 10",Dublin,D10K092,285000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/05/2023,"97 DOMINICS PLACE, WATERFORD, WATERFORD",Waterford,X91EE9D,150000,No,No,0,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
1/9/2023,"CAPPAGANNEEN, BEAUFORT, KILLARNEY",Kerry,V93A0Y5,373000,No,No,0,Second-Hand Dwelling house /Apartment,,52.05,-9.51667
15/12/2023,"33 THE AVENUE, CLONATTIN VILLAGE, GOREY",Wexford,Y25W253,216500,No,No,0,Second-Hand Dwelling house /Apartment,,52.67472,-6.2925
25/08/2023,"40 MONFORT, MONAGHAN, MONAGHAN",Monaghan,H18TW52,320000,No,No,0,Second-Hand Dwelling house /Apartment,,54.2601497,-6.9606967
24/10/2023,"APT 46, OLD WINDMILL COURT, LOWER GERALD GRIFFIN ST",Limerick,V94R983,182000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
15/12/2023,"SILOAM, BAURGARRIFF, BANTRY",Cork,P75K727,330000,No,No,0,Second-Hand Dwelling house /Apartment,,51.68333,-9.45
19/05/2023,"14 linden avenue, linden demesne, maynooth",Kildare,W23N9PR,466960,No,Yes,1,New Dwelling house /Apartment,,53.385,-6.59361
6/10/2023,"APARTMENT 318, BLOCK A, HAMPTON LODGE",Dublin,D09WK59,350000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/01/2023,"14 The Oaks, Avourwen, Drogheda",Meath,,345000,No,Yes,1,New Dwelling house /Apartment,,53.7034426,-6.3566915
20/04/2023,"2 Hillfort Avenue, Kill, Co Kildare",Kildare,,436120,No,Yes,1,New Dwelling house /Apartment,,53.25139,-6.59167
10/11/2023,"18 CHERRY PARK, NEWCASTLE, GALWAY",Galway,H91V05D,335000,No,No,0,Second-Hand Dwelling house /Apartment,,53.34083,-8.67833
10/2/2023,"17 DUBLIN ST, DUNDALK, LOUTH",Louth,A91K8X7,175000,No,No,0,Second-Hand Dwelling house /Apartment,,54.0007503,-6.4055086
30/11/2023,"124 ALDER AVE, MONVOY VALLEY TRAMORE, WATERFORD",Waterford,X91V6R2,277500,No,No,0,Second-Hand Dwelling house /Apartment,,52.16235,-7.15244
31/10/2023,"KILLEETER, MULLAGH, CAVAN",Cavan,A82E792,150000,No,No,0,Second-Hand Dwelling house /Apartment,,53.8273707,-6.9511086
19/12/2023,"12 BALLINA QUAY, BALLINA, COUNTY TIPPERARY",Tipperary,V94CH5F,238000,No,No,0,Second-Hand Dwelling house /Apartment,,52.8101645,-8.4390479
14/02/2023,"MOY BRIDGE, EMYVALE, CO MONAGHAN",Monaghan,H18YY45,305000,No,No,0,Second-Hand Dwelling house /Apartment,,54.34056,-6.95917
7/12/2023,"CLONGOWNA, BALLYMACWARD, GALWAY",Galway,H53X7N3,130000,No,No,0,Second-Hand Dwelling house /Apartment,,53.37944,-8.485
17/08/2023,"55 BARRICK ST, DUNDALK, LOUTH",Louth,A91R9X2,215000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
14/12/2023,"25 The Avenue, Baker Hall, Navan",Meath,,343610,No,Yes,1,New Dwelling house /Apartment,,53.65278,-6.68139
28/04/2023,"CURRIVREEDA WEST, BANDON, CO CORK",Cork,P72YN97,205000,No,No,0,Second-Hand Dwelling house /Apartment,,51.74694,-8.7425
2/11/2023,"7 MORRISTOWN GREEN, THE PADDOCKS, NEWBRIDGE",Kildare,W12DA56,400000,No,No,0,Second-Hand Dwelling house /Apartment,,53.1848366,-6.8146287
13/12/2023,"96 Newtown Wood, Termonfeckin Road, Drogheda",Louth,,334800,No,Yes,1,New Dwelling house /Apartment,,53.71889,-6.34778
7/8/2023,"8 HIGH ST, KILKENNY",Kilkenny,R95TC67,180000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6509263,-7.2525057
20/09/2023,"11A DESELBY LANE, tallaght, DUBLIN 24",Dublin,D24FHN4,285000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/03/2023,"169 AN FIODAN, DOUGHISKA, GALWAY",Galway,H91P573,209000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2809297,-8.9817586
11/8/2023,"64 ST LAURENCE PARK, DROGHEDA, LOUTH",Louth,A92TF2C,245000,No,No,0,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
12/10/2023,"29 BANTRY SQ, WATERVILLE, DUBLIN 15",Dublin,D15RC81,320000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3932887,-6.3699046
29/06/2023,"150 PRIORY SQ, ST RAPHAELS MANOR, CELBRIDGE",Kildare,W23EE33,262000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33861,-6.54361
6/11/2023,"91 MERIDIAN COURT, ROYAL CANAL PARK, ASHTOWN",Dublin,D15TH59,320000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
5/10/2023,"148 FERNWOOD, GLYNTOWN, GLANMIRE",Cork,T45R972,381500,No,No,0,Second-Hand Dwelling house /Apartment,,51.91583,-8.39972
13/11/2023,"76A THE GREEN, THORNBERRY, LETTERKENNY",Donegal,F92XH52,129000,No,No,0,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
29/05/2023,"4 WINDS COLLA, SCHULL, CO CORK",Cork,,260000,No,No,0,Second-Hand Dwelling house /Apartment,,51.52487,-9.54798
30/05/2023,"THE BUNGALOW, LOUGHBEG, RINGASKIDDY",Cork,P43FP59,130000,No,No,0,Second-Hand Dwelling house /Apartment,,51.83389,-8.31694
3/3/2023,"CORNAMONA, CLAREMORRIS, GALWAY",Galway,F12X432,235000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
27/11/2023,"STELLA MARIS, 15 ROCKFIELD PARK, WATERFORD",Waterford,X91KFP2,305000,No,No,0,Second-Hand Dwelling house /Apartment,,52.325,-7.55944
1/9/2023,"50 KELLS RD, CRUMLIN, DUBLIN 12",Dublin,D12X4W5,311000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/08/2023,"7 ST FINIANS CRESCENT ESKER LUCAN, DUBLIN",Dublin,K78YA72,356000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/07/2023,"Duntryleague, Galbally",Limerick,,290750,No,Yes,1,New Dwelling house /Apartment,,52.4070518,-8.3250811
26/09/2023,"APT 19, STONECOURT, THE SQUARE",Roscommon,F42P967,140000,No,No,0,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
11/7/2023,"49 MORGAN ST, BALLYBRICKEN, WATERFORD",Waterford,X91E6TW,163000,No,No,0,Second-Hand Dwelling house /Apartment,,52.2604468,-7.1186164
16/10/2023,"CALLIAGHSTOWN, KELLS, CO. MEATH",Meath,,125000,No,No,0,Second-Hand Dwelling house /Apartment,,53.7202498,-6.9077217
22/06/2023,"32 RIVERSIDE, PORTARLINGTON, LAOIS",Laois,R32DD39,226000,No,No,0,Second-Hand Dwelling house /Apartment,,53.16222,-7.19111
5/4/2023,"57 HAZEL COURT, CONVENT RD, BALLINROBE",Mayo,F31DX28,195000,No,No,0,Second-Hand Dwelling house /Apartment,,53.63333,-9.23333
16/08/2023,"31 ORHARD VILLAS, TERMONFECKIN, LOUTH",Louth,A92CP03,200000,No,No,0,Second-Hand Dwelling house /Apartment,,53.76333,-6.26778
20/09/2023,"56 COROFIN HOUSE, CLARE VILLAGE, MALAHIDE RD DUBLIN 17",Dublin,D17FP78,280000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/07/2023,"COOLAGH, KILMEAGUE, CO KILDARE",Kildare,W91PN79,200000,No,No,0,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
28/11/2023,"CRUBANY, CAVAN",Cavan,H12YX66,229750,No,No,0,Second-Hand Dwelling house /Apartment,,53.9635578,-7.3187486
4/8/2023,"17 GLEANN DAIRE, ARDAGH, CO LIMERICK",Limerick,V42YE38,147140,No,Yes,1,New Dwelling house /Apartment,,52.4952632,-9.0622873
15/03/2023,"3 HIGHFIELD PARK, WATERFORD, WATERFORD",Waterford,X91XEC8,220000,No,No,0,Second-Hand Dwelling house /Apartment,,52.2602614,-7.1312807
24/05/2023,"45 HARBOUR VIEW, HOWTH, CO DUBLIN",Dublin,D13FW62,400000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.3867365,-6.0667767
24/08/2023,"143 Church Green, Ballinglanna, Glanmire",Cork,,488990,No,Yes,1,New Dwelling house /Apartment,,51.91583,-8.39972
8/3/2023,"80 CALTRAGH HEIGHTS, CALTRAGH, SLIGO",Sligo,F91X2E6,172000,No,No,0,Second-Hand Dwelling house /Apartment,,54.2598903,-8.4729104
20/09/2023,"1 Old Meadow, Grove Avenue, Blackrock",Dublin,,991190,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
1/9/2023,"3 WATERSIDE AVE, SWORDS RD, MALAHIDE",Dublin,K36H771,270000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/6/2023,"BALLINACAROONA, KNOCKLONG, CO LIMERICK",Limerick,V35WY97,342000,No,No,0,Second-Hand Dwelling house /Apartment,,52.43583,-8.40639
4/8/2023,"124 ASHFIELD, ASHE RD, MULLINGAR",Westmeath,N91Y1R0,205000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
12/9/2023,"24 CHESTERFIELD DOWNES, CASTLETROY VIEW, LIMERICK",Limerick,V94NW0C,245000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
26/07/2023,"14 Manor Mill View, Oldtown Mill, Celbridge",Kildare,,369560,No,Yes,1,New Dwelling house /Apartment,,53.33861,-6.54361
28/08/2023,"16 CYPRESS PARK, TEMPLEOGUE, DUBLIN 6W",Dublin,D6WEP83,660000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2994978,-6.3083858
20/10/2023,"17 SUMMERHILL TERRACE, WATERFORD, WATERFORD",Waterford,X91HC9K,110000,No,No,0,Second-Hand Dwelling house /Apartment,,52.2631037,-7.120597
20/11/2023,"22 RIVERSIDE GREEN, KILCULLEN, KILDARE",Kildare,R56VX24,220260,No,Yes,1,New Dwelling house /Apartment,,53.13028,-6.74444
27/07/2023,"KANTARA, FARRANLEA PARK, MODEL FARM ROAD",Cork,T12Y9C1,385000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
21/12/2023,"3 LEITRIM QUAY, LEITRIM VILLAGE, LEITRIM",Leitrim,N41F589,155700,No,No,0,Second-Hand Dwelling house /Apartment,,53.9901725,-8.0632947
9/5/2023,"APT 3 WINDMILL PARK, PORTERSTOWN, CASTLEKNOCK DUBLIN 15",Dublin,D15RXR4,195000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/12/2023,"19 BRIDLE WALK, KILMINCHY, PORTLAOISE",Laois,R32X2DC,153000,No,No,0,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
11/9/2023,"144 Church Green, Ballinglanna, Glanmire",Cork,,493400,No,Yes,1,New Dwelling house /Apartment,,51.91583,-8.39972
29/06/2023,"9 Linden Close, Linden Demesne, Maynooth",Kildare,,525000,Yes,Yes,1,New Dwelling house /Apartment,,53.385,-6.59361
18/08/2023,"MEENVANE, SCHULL, CORK",Cork,,860000,No,No,0,Second-Hand Dwelling house /Apartment,,51.5280227,-9.5424861
28/02/2023,"46 The View, Belin Woods, Newbridge",Kildare,,352420,No,Yes,1,New Dwelling house /Apartment,,53.1733192,-6.7841748
24/04/2023,"117 CASTLEDAWSON, MAYNOOTH, KILDARE",Kildare,W23C6W7,503000,No,No,0,Second-Hand Dwelling house /Apartment,,53.385,-6.59361
24/07/2023,"17 The Way, Vartry Wood, Ashford",Wicklow,,321590,No,Yes,1,New Dwelling house /Apartment,,53.0157879,-6.1099176
11/9/2023,"22 Kilheale Park, Kilheale Manor, Kill",Kildare,,413220,No,Yes,1,New Dwelling house /Apartment,,53.25139,-6.59167
2/11/2023,"3 FARMLEIGH CLOSE, STILLORGAN, DUBLIN",Dublin,A94PN25,800000,No,No,0,Second-Hand Dwelling house /Apartment,,53.283264,-6.1920431
14/04/2023,"52 WILLOW AVE, PRIMROSE GATE, CELBRIDGE",Kildare,W23XH5K,220000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3334486,-6.5270142
7/7/2023,"14 THE QUARRY, UPPER CARRICKHILL RD, PORTMARNOCK",Dublin,D13EW61,255000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/05/2023,"33 THE JETTY, MARKET POINT, MULLINGAR",Westmeath,N91AP03,160000,No,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
9/2/2023,"17 ORPEN HALL, BRENNANSTOWN WOOD, BRENNANSTOWN ROAD",Dublin,,462560,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
10/3/2023,"33 Holly Way, Green Hill, Clonhaston",Wexford,,215860,Yes,Yes,1,New Dwelling house /Apartment,,52.5,-6.66667
11/9/2023,"7 bURGAGE cASTLE, bLESSINGTON",Wicklow,,485000,No,Yes,1,New Dwelling house /Apartment,,53.1610241,-6.5424639
13/01/2023,"125 Monksfield, Abbeyside, Dungarvan",Waterford,,253600,No,Yes,1,New Dwelling house /Apartment,,52.0952217,-7.6055733
1/2/2023,"9 KENNEDY PARK, WEXFORD",Wexford,Y35F5X8,170000,No,No,0,Second-Hand Dwelling house /Apartment,,52.3297075,-6.4729185
1/8/2023,"23 LOWER KIMMAGE RD, HAROLDS CROSS, DUBLIN 6W",Dublin,D6WRW59,795000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
10/8/2023,"51 LIMETREE AVE, KILMINCHY, PORTLAOISE",Laois,R32C2CH,290000,No,No,0,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
22/08/2023,"6 CLAY FARM COPSE, CLAY FARM, LEOPARDSTOWN",Dublin,,656390,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
21/08/2023,"9 ASHFIELD, RAHEEN, LIMERICK",Limerick,V94APX3,345000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6282936,-8.6550042
12/1/2023,"66 KNOCKCULLEN DR, KNOCKLYON, DUBLIN 16",Dublin,D16K0H2,700000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2873116,-6.3086631
21/11/2023,"7 Woodward Heath, Glencairn Gate, Leopardstown",Dublin,,744490,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
15/11/2023,"14 Murrough View, Greenhill Road, Wicklow Town",Wicklow,,222290,Yes,Yes,1,New Dwelling house /Apartment,,53,-6.41667
1/2/2023,"23 BLESSINGTON STREET, PHIBSBOROUGH, DUBLIN 7",Dublin,D07DT6D,260000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
